,image,label
0,bed_00176480_nohash_0.png,11
1,bed_004ae714_nohash_0.png,11
2,bed_004ae714_nohash_1.png,11
3,bed_00f0204f_nohash_0.png,11
4,bed_00f0204f_nohash_1.png,11
5,bed_012c8314_nohash_0.png,11
6,bed_012c8314_nohash_1.png,11
7,bed_0132a06d_nohash_0.png,11
8,bed_0135f3f2_nohash_0.png,11
9,bed_0137b3f4_nohash_0.png,11
10,bed_014f9f65_nohash_0.png,11
11,bed_01648c51_nohash_0.png,11
12,bed_01648c51_nohash_1.png,11
13,bed_016e2c6d_nohash_0.png,11
14,bed_01b4757a_nohash_0.png,11
15,bed_01b4757a_nohash_1.png,11
16,bed_01bcfc0c_nohash_0.png,11
17,bed_0227998e_nohash_0.png,11
18,bed_02746d24_nohash_0.png,11
19,bed_035de8fe_nohash_0.png,11
20,bed_0362539c_nohash_0.png,11
21,bed_0362539c_nohash_1.png,11
22,bed_037c445a_nohash_0.png,11
23,bed_0397ecda_nohash_0.png,11
24,bed_03c96658_nohash_0.png,11
25,bed_042186b8_nohash_0.png,11
26,bed_042ea76c_nohash_0.png,11
27,bed_0447d7c1_nohash_0.png,11
28,bed_0474c92a_nohash_0.png,11
29,bed_0474c92a_nohash_1.png,11
30,bed_05739450_nohash_0.png,11
31,bed_05b2db80_nohash_0.png,11
32,bed_05d18852_nohash_0.png,11
33,bed_06076b6b_nohash_0.png,11
34,bed_063d48cf_nohash_0.png,11
35,bed_063d48cf_nohash_1.png,11
36,bed_0685264e_nohash_0.png,11
37,bed_07363607_nohash_0.png,11
38,bed_079dfce3_nohash_0.png,11
39,bed_079dfce3_nohash_1.png,11
40,bed_079dfce3_nohash_2.png,11
41,bed_07c5129e_nohash_0.png,11
42,bed_09bcdc9d_nohash_0.png,11
43,bed_09bcdc9d_nohash_1.png,11
44,bed_09ddc105_nohash_0.png,11
45,bed_09ddc105_nohash_1.png,11
46,bed_0a7c2a8d_nohash_0.png,11
47,bed_0b09edd3_nohash_0.png,11
48,bed_0b56bcfe_nohash_0.png,11
49,bed_0b77ee66_nohash_0.png,11
50,bed_0b77ee66_nohash_1.png,11
51,bed_0b77ee66_nohash_2.png,11
52,bed_0bde966a_nohash_0.png,11
53,bed_0bde966a_nohash_1.png,11
54,bed_0c2ca723_nohash_0.png,11
55,bed_0c2ca723_nohash_1.png,11
56,bed_0c2d2ffa_nohash_0.png,11
57,bed_0c2d2ffa_nohash_1.png,11
58,bed_0d2bcf9d_nohash_0.png,11
59,bed_0d2bcf9d_nohash_1.png,11
60,bed_0d393936_nohash_0.png,11
61,bed_0e5193e6_nohash_0.png,11
62,bed_0f7dc557_nohash_0.png,11
63,bed_0ff728b5_nohash_0.png,11
64,bed_102192fd_nohash_0.png,11
65,bed_10467b06_nohash_0.png,11
66,bed_10627519_nohash_0.png,11
67,bed_106a6183_nohash_0.png,11
68,bed_10ace7eb_nohash_0.png,11
69,bed_10c6d873_nohash_0.png,11
70,bed_11321027_nohash_0.png,11
71,bed_118261a9_nohash_0.png,11
72,bed_118261a9_nohash_1.png,11
73,bed_118261a9_nohash_2.png,11
74,bed_11860c84_nohash_0.png,11
75,bed_11a022ba_nohash_0.png,11
76,bed_11b1df78_nohash_0.png,11
77,bed_11b1df78_nohash_1.png,11
78,bed_122c5aa7_nohash_0.png,11
79,bed_12529547_nohash_0.png,11
80,bed_126a31d2_nohash_0.png,11
81,bed_129c7d8d_nohash_0.png,11
82,bed_13199b79_nohash_0.png,11
83,bed_1365dd89_nohash_0.png,11
84,bed_1365dd89_nohash_1.png,11
85,bed_146d97db_nohash_0.png,11
86,bed_14872d06_nohash_0.png,11
87,bed_14872d06_nohash_1.png,11
88,bed_14df1e28_nohash_0.png,11
89,bed_15b0c947_nohash_0.png,11
90,bed_15c371c7_nohash_0.png,11
91,bed_15c563d7_nohash_0.png,11
92,bed_15d83b54_nohash_0.png,11
93,bed_15d83b54_nohash_1.png,11
94,bed_15f04ff8_nohash_0.png,11
95,bed_161fcca8_nohash_0.png,11
96,bed_161fcca8_nohash_1.png,11
97,bed_1625acd8_nohash_0.png,11
98,bed_1625acd8_nohash_1.png,11
99,bed_16d41d07_nohash_0.png,11
100,bed_1706c35f_nohash_0.png,11
101,bed_1706c35f_nohash_1.png,11
102,bed_1706c35f_nohash_2.png,11
103,bed_1706c35f_nohash_3.png,11
104,bed_172dc2b0_nohash_0.png,11
105,bed_172dc2b0_nohash_1.png,11
106,bed_172dc2b0_nohash_2.png,11
107,bed_173ae793_nohash_0.png,11
108,bed_173ae793_nohash_1.png,11
109,bed_173ce2be_nohash_0.png,11
110,bed_173ce2be_nohash_1.png,11
111,bed_1746d7b6_nohash_0.png,11
112,bed_179a61b7_nohash_0.png,11
113,bed_17c94b23_nohash_0.png,11
114,bed_17cc40ee_nohash_0.png,11
115,bed_17f0e206_nohash_0.png,11
116,bed_17f0e206_nohash_1.png,11
117,bed_187af8be_nohash_0.png,11
118,bed_1887fe04_nohash_0.png,11
119,bed_1890e5c3_nohash_0.png,11
120,bed_18a1aab9_nohash_0.png,11
121,bed_18a8f03f_nohash_0.png,11
122,bed_18a8f03f_nohash_1.png,11
123,bed_18a8f03f_nohash_2.png,11
124,bed_18c54a68_nohash_0.png,11
125,bed_18c54a68_nohash_1.png,11
126,bed_18c54a68_nohash_2.png,11
127,bed_18c54a68_nohash_3.png,11
128,bed_18c54a68_nohash_4.png,11
129,bed_190821dc_nohash_0.png,11
130,bed_19785c4e_nohash_0.png,11
131,bed_19785c4e_nohash_1.png,11
132,bed_19785c4e_nohash_2.png,11
133,bed_1993db46_nohash_0.png,11
134,bed_1995cf9e_nohash_0.png,11
135,bed_19e246ad_nohash_0.png,11
136,bed_19f9c115_nohash_0.png,11
137,bed_19f9c115_nohash_1.png,11
138,bed_19f9c115_nohash_2.png,11
139,bed_19f9c115_nohash_3.png,11
140,bed_1a073312_nohash_0.png,11
141,bed_1a073312_nohash_1.png,11
142,bed_1a4259c3_nohash_0.png,11
143,bed_1a4259c3_nohash_1.png,11
144,bed_1a5b9ca4_nohash_0.png,11
145,bed_1a5b9ca4_nohash_1.png,11
146,bed_1a673010_nohash_0.png,11
147,bed_1a6eca98_nohash_0.png,11
148,bed_1a6eca98_nohash_1.png,11
149,bed_1a892463_nohash_0.png,11
150,bed_1afd49bf_nohash_0.png,11
151,bed_1afd49bf_nohash_1.png,11
152,bed_1b459024_nohash_0.png,11
153,bed_1b63157b_nohash_0.png,11
154,bed_1b755c65_nohash_0.png,11
155,bed_1b755c65_nohash_1.png,11
156,bed_1bb574f9_nohash_0.png,11
157,bed_1bb6ed89_nohash_0.png,11
158,bed_1bb6ed89_nohash_1.png,11
159,bed_1c3f50ad_nohash_0.png,11
160,bed_1c45ceb2_nohash_0.png,11
161,bed_1c6e5447_nohash_0.png,11
162,bed_1cbcc7a7_nohash_0.png,11
163,bed_1d1fe0a0_nohash_0.png,11
164,bed_1dce06e8_nohash_0.png,11
165,bed_1df483c0_nohash_0.png,11
166,bed_1df99a8a_nohash_0.png,11
167,bed_1df99a8a_nohash_1.png,11
168,bed_1e4064b8_nohash_0.png,11
169,bed_1e4064b8_nohash_1.png,11
170,bed_1e412fac_nohash_0.png,11
171,bed_1ecfb537_nohash_0.png,11
172,bed_1ed557b9_nohash_0.png,11
173,bed_1ffd513b_nohash_0.png,11
174,bed_20174140_nohash_0.png,11
175,bed_2039b9c1_nohash_0.png,11
176,bed_21307344_nohash_0.png,11
177,bed_215699ff_nohash_0.png,11
178,bed_215699ff_nohash_1.png,11
179,bed_21832144_nohash_0.png,11
180,bed_21cbe292_nohash_0.png,11
181,bed_21e8c417_nohash_0.png,11
182,bed_229978fd_nohash_0.png,11
183,bed_2313e093_nohash_0.png,11
184,bed_234ab0fb_nohash_0.png,11
185,bed_238c112c_nohash_0.png,11
186,bed_23abe1c9_nohash_0.png,11
187,bed_24b82192_nohash_0.png,11
188,bed_24befdb3_nohash_0.png,11
189,bed_24ed94ab_nohash_0.png,11
190,bed_24ed94ab_nohash_1.png,11
191,bed_25040e85_nohash_0.png,11
